Ticker Symbol,For Year,Total Assets,Intangible Assets,Liabilities,Earnings Per Share,Total Revenue,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Total Liabilities,Total Equity,Retained Earnings,Gross Margin,Estimated Shares Outstanding,Book Value,Asset Turnover,Total Debt To Equity,date,open,close,low,high,volume,month,Name,Sector,Industry
HRL,2016,6370067e3,903258e3,-109189e3,0.46,9523224e3,193,99,9,14,1922061e3,4448006e3,4736567e3,23,1934895652.17,5575998e3,1.494995892507881,0.43211744768329896,2016,43.07,43.91,43.02,43.939999,3021400,04,Hormel Foods Corporation,Consumer Non-Durables,Meat/Poultry/Fish
HRS,2016,11996e6,1542e6,-67e6,2.61,7467e6,133,84,4,10,8939e6,3056e6,133e7,31,124137931.034,10521e6,0.6224574858286095,2.925065445026178,2016,77.389999,77.800003,75.57,78,1886e3,04,Harris Corporation,Capital Goods,Industrial Machinery/Components
INTU,2016,425e7,44e6,136e6,3.73,4694e6,72,72,21,26,3089e6,1161e6,6687e6,84,262466487.936,407e7,1.104470588235294,2.6606373815676143,2016,103.769997,104.690002,103.519997,104.779999,844900,04,Intuit Inc.,Technology,Computer Software: Prepackaged Software
JEC,2016,7360022e3,336922e3,-87383e3,1.75,10964157e3,161,161,2,3,3094746e3,4265276e3,3586647e3,16,120264571.429,7110483e3,1.4896907916851336,0.7255675834342256,2016,43.080002,43.759998,42.5,43.77,986800,04,Jacobs Engineering Group Inc.,Basic Industries,Military/Government/Technical
KLAC,2016,4962432e3,4331e3,-24687e3,4.52,2984493e3,386,316,24,32,4273318e3,689114e3,284825e3,61,155845575.221,4982788e3,0.6014174098506538,6.201177163720371,2016,72.739998,73.050003,72.389999,73.260002,884700,04,KLA-Tencor Corporation,Capital Goods,Electronic Components
KMX,2016,14481576e3,0,-142294e3,3.07,15149675e3,246,54,4,7,1157679e4,2904786e3,1746804e3,13,203071009.772,1462387e4,1.0461344124424026,3.985419235702733,2016,50.57,51.75,49.77,51.779999,4399800,04,CarMax Inc,Consumer Durables,Automotive Aftermarket
KORS,2016,25668e5,674e5,1304e5,4.5,47121e5,383,258,18,25,5711e5,19957e5,30078e5,59,186466666.667,2369e6,1.8357877512856475,0.28616525529889264,2016,56.82,56.970001,56.040001,57.060001,2560700,04,Michael Kors Holdings Limited,Consumer Non-Durables,Apparel
LLTC,2016,2049981e3,9385e3,32685e3,2.02,1423936e3,975,921,35,44,290806e3,1759175e3,-37921e4,76,244725742.574,2007911e3,0.6946093646721604,0.16530817002288004,2016,44.470001,45,44.259998,45.049999,1528e3,04,Linear Technology Corporation,Technology,Semiconductors
LRCX,2016,12271528e3,564921e3,22984e4,5.75,5885893e3,381,341,16,18,6377011e3,5894517e3,4820109e3,44,158965043.478,11476767e3,0.47963815101102325,1.0818547134565903,2016,82.279999,82.93,81.690002,83.139999,2908600,04,Lam Research Corporation,Technology,Industrial Machinery/Components
MCHP,2016,5567515e3,606349e3,-3874e3,1.59,2173334e3,811,730,15,16,3416596e3,2150919e3,1582585e3,55,203856603.774,496504e4,0.3903597924747396,1.5884354547986232,2016,47.91,48.279999,47.540001,48.330002,2130100,04,Microchip Technology Incorporated,Technology,Semiconductors
MCK,2016,56563e6,3021e6,3104e6,9.82,190884e6,110,66,1,2,47639e6,8924e6,836e7,6,229938900.204,50438e6,3.3747149196471193,5.338301210219632,2016,156.75,157.410004,155.570007,157.899994,936900,04,McKesson Corporation,Health Care,Other Pharmaceuticals
MON,2016,19736e6,1125e6,312e6,3.02,13502e6,121,73,10,18,15202e6,4534e6,10763e6,52,442384105.96,18299e6,0.6841305229023105,3.35288928098809,2016,87.260002,87.870003,85.93,87.980003,3728800,04,Monsanto Company,Basic Industries,Agricultural Chemicals
MSFT,2016,193694e6,3733e6,-938e6,2.12,8532e7,235,231,20,24,121697e6,71997e6,2282e6,62,7923584905.66,190899e6,0.44048860573894905,1.6903065405503006,2016,55.049999,55.57,54.57,55.610001,24399200,04,Microsoft Corporation,Technology,Computer Software: Prepackaged Software
MU,2016,2754e7,464e6,209e6,-0.27,12399e6,196,137,2,1,1546e7,1208e7,5299e6,20,1022222222.22,26867e6,0.45021786492374727,1.2798013245033113,2016,10.28,11.03,10.24,11.07,28458300,04,"Micron Technology, Inc.",Technology,Semiconductors
NKE,2016,21396e6,281e6,-889e6,2.21,32376e6,280,190,12,14,9138e6,12258e6,4151e6,46,1701357466.06,22004e6,1.5131800336511498,0.7454723445912873,2016,61.220001,61.59,61.150002,61.82,7555300,04,"Nike, Inc.",Consumer Non-Durables,Shoe Manufacturing
NTAP,2016,10037e6,18e7,163e6,0.78,5546e6,176,173,4,6,7156e6,2881e6,0,61,293589743.59,9694e6,0.552555544485404,2.4838597709128774,2016,26.99,26.969999,26.59,27.190001,2813200,04,"NetApp, Inc.",Technology,Electronic Components
NVDA,2016,737e7,166e6,-69e6,1.13,501e7,257,240,12,15,2901e6,4469e6,435e7,56,543362831.858,7273e6,0.6797829036635007,0.6491385097337212,2016,35.41,36.150002,35.139999,36.169998,8707300,04,NVIDIA Corporation,Technology,Semiconductors
NWSA,2016,15483e6,2207e6,316e6,0.3,8292e6,159,159,2,1,3899e6,11564e6,15e7,100,596666666.667,1296e7,0.5355551249757798,0.3371670702179177,2016,12.68,13.03,12.51,13.05,3538800,04,News Corporation,Consumer Services,Newspapers/Magazines
PAYX,2016,64408e5,695e5,633e5,2.1,29519e5,111,111,26,39,45291e5,19117e5,9262e5,100,360380952.381,6308e6,0.4583126319711837,2.369147878851284,2016,53.310001,54.169998,53.189999,54.200001,2031100,04,"Paychex, Inc.",Consumer Services,Diversified Commercial Services
PDCO,2016,3520804e3,509297e3,115635e3,1.93,5386703e3,211,124,3,6,2079058e3,1441746e3,1529158e3,25,96986528.4974,2895872e3,1.5299638946104355,1.4420418020927404,2016,46.41,46.349998,45.799999,46.599998,779e3,04,"Patterson Companies, Inc.",Health Care,Medical Specialities
PH,2016,12056738e3,922571e3,-230391e3,5.96,11360753e3,220,171,7,10,7481483e3,4575255e3,10302866e3,22,135375838.926,11364558e3,0.9422741872635866,1.6352056879889756,2016,109.589996,111.82,108.769997,112.050003,898300,04,Parker-Hannifin Corporation,Capital Goods,Metal Fabrications
QCOM,2016,52359e6,35e8,-118e6,3.84,23554e6,314,293,24,28,20581e6,31778e6,30936e6,59,1485677083.33,48977e6,0.4498558032047976,0.6476493171376424,2016,51.080002,50.880001,50.009998,51.110001,9379800,04,QUALCOMM Incorporated,Technology,Radio And Television Broadcasting And Communications Equipment
QRVO,2016,6596819e3,1812515e3,-5387e3,-0.2,2610726e3,404,289,1,0,1597147e3,4999672e3,-439808e3,40,144225e3,4789691e3,0.39575528751054107,0.31945035594334986,2016,50.150002,50.82,49.549999,51.27,1231300,04,"Qorvo, Inc.",Technology,Semiconductors
RHT,2016,4155099e3,146071e3,322933e3,1.09,205223e4,120,120,10,14,2820667e3,1334432e3,1099738e3,85,182903669.725,3686095e3,0.4939064027114637,2.1137585129853003,2016,73.989998,75.519997,73.699997,75.589996,1675800,04,"Red Hat, Inc.",Technology,"Computer Software: Programming, Data Processing"
