"","Ticker Symbol","For Year","Total Assets","Intangible Assets","Liabilities","Earnings Per Share","Total Revenue","Current Ratio","Quick Ratio","Profit Margin","Operating Margin","Total Liabilities","Total Equity","Retained Earnings","Gross Margin","Estimated Shares Outstanding","Book Value","Asset Turnover","Total Debt To Equity","date","open","close","low","high","volume","month","Name","Sector","Industry"
"130","APH",2012,5215463000,0,161200000,3.44,4292100000,305,222,13,19,2785504000,2429959000,2210120000,31,161424418.605,5054263000,0.822956657922796,1.14631728354264,2012-04-02,59.830002,61.330002,59.830002,61.650002,2740600,"04","Amphenol Corporation","Capital Goods","Electrical Products"
"131","APH",2013,6.168e+09,188900000,45600000,4,4614700000,196,147,14,19,3308500000,2859500000,2424400000,31,158925000,5933500000,0.748167963683528,1.15702045812205,2013-04-01,74.769997,73.519997,73.339996,74.769997,1108000,"04","Amphenol Corporation","Capital Goods","Electrical Products"
"132","APH",2014,6985900000,326300000,152600000,2.26,5345500000,330,247,13,19,4078500000,2907400000,2453500000,32,313761061.947,6.507e+09,0.765184156658412,1.40279975235606,2014-04-01,91.93,92.220001,91.230003,92.25,1249200,"04","Amphenol Corporation","Capital Goods","Electrical Products"
"133","APH",2015,7458400000,3.06e+08,35400000,2.47,5568700000,382,297,14,20,4219900000,3238500000,2804400000,32,309109311.741,7.117e+09,0.746634666952698,1.30304153157326,2015-04-01,58.66,58.279999,57.830002,58.779999,1334800,"04","Amphenol Corporation","Capital Goods","Electrical Products"
"134","ARNC",2012,4.0179e+10,0,-1.54e+08,0.18,2.37e+10,130,82,1,2,2.698e+10,1.3199e+10,1.1689e+10,14,1061111111.11,4.0333e+10,0.589860374822669,2.04409424956436,2012-04-02,9.930008,10.170008,9.930008,10.240008,8308600,"04","Arconic Inc.","Capital Goods","Metal Fabrications"
"135","ARNC",2013,3.5742e+10,0,-6.68e+08,-2.14,2.3032e+10,114,70,10,6,2.5149e+10,1.0593e+10,9.272e+09,16,1067757009.35,3.641e+10,0.644395948743775,2.37411498159162,2013-04-01,8.510007,8.390007,8.330006,8.540006,9444100,"04","Arconic Inc.","Capital Goods","Metal Fabrications"
"136","ARNC",2014,3.7363e+10,0,-8.98e+08,0.21,2.3906e+10,144,87,1,4,2.5057e+10,1.2306e+10,9.379e+09,20,1276190476.19,3.8261e+10,0.639830848700586,2.03616122216805,2014-04-01,12.95001,13.04001,12.79001,13.180011,10894600,"04","Arconic Inc.","Capital Goods","Metal Fabrications"
"137","ARNC",2015,3.6528e+10,0,-1.199e+09,-0.31,2.2534e+10,153,87,1,3,2.4482e+10,1.2046e+10,8.834e+09,20,1038709677.42,3.7727e+10,0.616896627244853,2.03237589241242,2015-04-01,12.91001,13.00001,12.86001,13.10001,17056900,"04","Arconic Inc.","Capital Goods","Metal Fabrications"
"138","ATVI",2012,1.42e+10,6.6e+08,7.7e+07,1.01,4.856e+09,237,229,24,30,2.883e+09,1.1317e+10,1.893e+09,66,1137623762.38,1.3463e+10,0.341971830985915,0.254749491914818,2012-04-02,12.78,12.82,12.7,12.83,8648600,"04","Activision Blizzard, Inc","Technology","Computer Software: Prepackaged Software"
"139","ATVI",2013,1.4012e+10,4.97e+08,-2.04e+08,0.96,4.583e+09,260,252,22,30,7.39e+09,6.622e+09,2.686e+09,67,1052083333.33,1.3719e+10,0.327076791321724,1.1159770462096,2013-04-01,14.53,14.44,14.35,14.61,2651300,"04","Activision Blizzard, Inc","Technology","Computer Software: Prepackaged Software"
"140","ATVI",2014,1.4642e+10,5e+08,5.53e+08,1.14,4.408e+09,241,236,19,27,7.409e+09,7.233e+09,3.374e+09,65,732456140.351,1.3589e+10,0.301051768884032,1.02433291856768,2014-04-01,20.440001,20.690001,20.299999,20.719999,6631400,"04","Activision Blizzard, Inc","Technology","Computer Software: Prepackaged Software"
"141","ATVI",2015,1.5251e+10,5.62e+08,1.81e+08,1.21,4.664e+09,130,125,19,28,7.183e+09,8.068e+09,4.096e+09,66,737190082.645,1.4508e+10,0.305816012064783,0.890307387208726,2015-04-01,22.73,22.43,22.280001,22.780001,4826800,"04","Activision Blizzard, Inc","Technology","Computer Software: Prepackaged Software"
"142","AVB",2012,11160078000,0,-4737000,4.34,1000627000,NA,NA,42,35,4322863000,6837215000,-142329000,100,97594930.8756,11164815000,0.0896612908977876,0.632254945909994,2012-04-02,141.360001,141.429993,140.25,141.660004,551700,"04","AvalonBay Communities, Inc.","Consumer Services","Real Estate Investment Trusts"
"143","AVB",2013,15328143000,0,10997000,2.78,1462921000,NA,NA,24,21,6732011000,8596132000,-345254000,100,126896043.165,15317146000,0.095440197811307,0.783144209511906,2013-04-01,127.18,128.089996,126.669998,128.119995,580400,"04","AvalonBay Communities, Inc.","Consumer Services","Real Estate Investment Trusts"
"144","AVB",2014,16140578000,0,6959000,5.22,1685061000,NA,NA,41,37,7094173000,9046405000,-267085000,100,133587547.893,16133619000,0.104399049402072,0.784198032257013,2014-04-01,131.320007,131.270004,130.039993,131.449997,770600,"04","AvalonBay Communities, Inc.","Consumer Services","Real Estate Investment Trusts"
"145","AVB",2015,16931305000,0,23113000,5.54,1856028000,NA,NA,40,38,7090779000,9840526000,-197989000,100,133886823.105,16908192000,0.109621083549083,0.72056910372474,2015-04-01,174.399994,172.910004,172.529999,174.990005,606400,"04","AvalonBay Communities, Inc.","Consumer Services","Real Estate Investment Trusts"
"146","AVY",2013,4610600000,9.6e+07,5e+06,2.19,6.14e+09,135,103,3,8,3118400000,1492200000,2009100000,27,97351598.1735,4509600000,1.33171387671887,2.08980029486664,2013-04-01,43.080002,42.389999,42.299999,43.139999,499700,"04","Avery Dennison Corporation","Consumer Durables","Containers/Packaging"
"147","AVY",2014,4356900000,67400000,-72600000,2.65,6330300000,121,90,4,8,3309200000,1047700000,2116500000,26,92490566.0377,4362100000,1.45293672106314,3.15853774935573,2014-04-01,50.93,51.110001,50.560001,51.150002,533000,"04","Avery Dennison Corporation","Consumer Durables","Containers/Packaging"
"148","AVY",2015,4133700000,45800000,29800000,3.01,5966900000,122,89,5,9,3.168e+09,965700000,2277600000,28,91129568.1063,4058100000,1.44347678834942,3.28052190121156,2015-04-01,52.77,52.98,52.27,52.98,612600,"04","Avery Dennison Corporation","Consumer Durables","Containers/Packaging"
"149","AWK",2012,14718976000,0,-83097000,2.03,2853926000,50,47,13,32,10255127000,4444988000,-1664955000,53,176389162.562,14802073000,0.19389433069257,2.30712141405106,2012-04-02,34.09,34.349998,33.950001,34.439999,736800,"04","American Water Works","Public Utilities","Water Supply"
"150","AWK",2013,15088142000,0,-8.3e+07,2.08,2.879e+09,46,44,13,33,10343161000,4727804000,-1495698000,55,177403846.154,15171142000,0.190812096015533,2.18773049813402,2013-04-01,41.419998,41.27,40.849998,41.580002,588400,"04","American Water Works","Public Utilities","Water Supply"
"151","AWK",2014,1.6038e+10,0,-2.5e+07,2.36,3.011e+09,46,43,14,33,1.1108e+10,4.915e+09,-1.296e+09,55,179237288.136,1.6063e+10,0.18774161366754,2.26002034587996,2014-04-01,45.380001,45.16,44.860001,45.439999,887900,"04","American Water Works","Public Utilities","Water Supply"
